customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,brand,product_line,product_class,product_size,list_price,standard_cost,Profit,address,state,country,Age,
609,Margalit,Dorwood,Female,32,11/6/2000,Computer Systems Analyst II,Health,Mass Customer,N,No,1,Giant Bicycles,Road,low,small,$590.26,$525.33,$64.93,18939 Upham Hill,VIC,Australia,17,
852,Andie,Bonney,Female,37,11/4/2000,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,2,Trek Bicycles,Mountain,low,medium,$574.64,$459.71,$114.93,370 Portage Parkway,VIC,Australia,17,
1354,Karee,Hyman,Female,0,10/15/2000,Analyst Programmer,Financial Services,Affluent Customer,N,No,2,Giant Bicycles,Standard,high,medium,"$1,274.93",$764.96,$509.97,60320 Emmet Road,QLD,Australia,17,
1798,Eunice,Risom,Female,46,10/11/2000,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,1,WeareA2B,Standard,medium,medium,"$1,231.15",$161.60,"$1,069.55",4559 Sundown Trail,NSW,Australia,17,
850,Nevin,Hanfrey,Male,79,9/24/2000,Clinical Specialist,Health,Mass Customer,N,No,1,OHM Cycles,Standard,medium,medium,$795.34,$101.58,$693.76,4439 7th Terrace,NSW,Australia,17,
3015,Queenie,Flips,Female,25,9/2/2000,Assistant Manager,Retail,Affluent Customer,N,No,1,WeareA2B,Standard,medium,medium,"$1,992.93",$762.63,"$1,230.30",95530 Hallows Circle,QLD,Australia,17,
373,Eva,Colenutt,Female,95,8/26/2000,Structural Analysis Engineer,Health,High Net Worth,N,Yes,1,Norco Bicycles,Standard,medium,small,"$1,216.14","$1,082.36",$133.78,4754 Moulton Alley,NSW,Australia,17,
3077,Emelen,Gillopp,Male,19,8/11/2000,Information Systems Manager,Manufacturing,Affluent Customer,N,No,2,Solex,Road,medium,large,"$1,777.80",$820.78,$957.02,3383 Fair Oaks Circle,VIC,Australia,17,
2024,Elinor,Biggerstaff,Female,69,7/14/2000,VP Sales,IT,Mass Customer,N,Yes,2,Trek Bicycles,Standard,high,medium,$358.39,$215.03,$143.36,682 Sheridan Avenue,NSW,Australia,17,
15,Erroll,Radage,Male,91,7/13/2000,Junior Executive,Manufacturing,Mass Customer,N,No,1,OHM Cycles,Standard,high,medium,"$2,005.66","$1,203.40",$802.26,9 Beilfuss Crossing,NSW,Australia,17,
2645,Ado,Yaldren,Male,20,6/26/2000,Technical Writer,IT,High Net Worth,N,Yes,1,Giant Bicycles,Standard,medium,large,"$1,812.75",$582.48,"$1,230.27",25 Ronald Regan Point,QLD,Australia,17,
1951,Rockie,MacCosty,Male,93,6/7/2000,Health Coach II,Manufacturing,Mass Customer,N,Yes,2,WeareA2B,Standard,medium,medium,$60.34,$45.26,$15.08,78000 Arrowood Center,NSW,Australia,17,
1076,Siegfried,Trattles,Male,33,6/6/2000,Pharmacist,Health,Affluent Customer,N,No,2,Norco Bicycles,Road,high,large,$774.53,$464.72,$309.81,0 Dunning Plaza,NSW,Australia,17,
2731,Meagan,Ferry,Female,74,5/18/2000,Accounting Assistant III,Retail,Mass Customer,N,Yes,1,WeareA2B,Standard,medium,medium,$752.64,$205.36,$547.28,2 Pankratz Street,QLD,Australia,17,
3482,Roch,Rilston,Female,71,5/18/2000,Clinical Specialist,Health,Affluent Customer,N,Yes,2,Solex,Standard,medium,medium,"$1,151.96",$649.49,$502.47,5 Fairfield Parkway,NSW,Australia,17,
3201,Zed,Blanckley,Male,61,3/31/2000,Assistant Professor,Financial Services,Mass Customer,N,Yes,1,OHM Cycles,Standard,medium,medium,$235.63,$125.07,$110.56,91141 Huxley Parkway,NSW,Australia,17,
2541,Cleveland,Islep,Male,17,3/14/2000,Software Engineer II,Financial Services,High Net Worth,N,Yes,2,WeareA2B,Standard,medium,small,"$1,415.01","$1,259.36",$155.65,0 Summerview Pass,QLD,Australia,17,
3363,Orson,Tythacott,Male,25,3/8/2000,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,3,OHM Cycles,Road,high,large,$12.01,$7.21,$4.80,50 Londonderry Park,NSW,Australia,17,
3089,Wood,Nathan,Male,27,2/24/2000,Web Developer III,Manufacturing,Affluent Customer,N,Yes,2,Trek Bicycles,Road,low,small,"$1,720.70","$1,531.42",$189.28,16405 Doe Crossing Parkway,VIC,Australia,17,
2938,Richardo,Cocher,Male,79,2/21/2000,Assistant Manager,Argiculture,Affluent Customer,N,No,2,Giant Bicycles,Road,medium,medium,$792.90,$594.68,$198.22,6390 Truax Park,VIC,Australia,17,
2134,Crosby,Ruoff,Male,16,2/21/2000,Nurse,Manufacturing,Affluent Customer,N,No,2,Trek Bicycles,Road,medium,large,"$1,894.19",$598.76,"$1,295.43",886 Rusk Pass,NSW,Australia,17,
3954,Archaimbaud,McAteer,Male,63,2/3/2000,Human Resources Assistant III,Financial Services,High Net Worth,N,No,2,Solex,Road,medium,large,"$1,777.80",$820.78,$957.02,4889 Tomscot Park,NSW,Australia,17,
1390,Christyna,Feldberg,Female,74,1/25/2000,Accounting Assistant I,Retail,High Net Worth,N,Yes,1,WeareA2B,Standard,medium,medium,"$1,992.93",$762.63,"$1,230.30",5 Hauk Lane,NSW,Australia,17,
1392,Marris,Waison,Female,28,1/15/2000,Human Resources Manager,Financial Services,Mass Customer,N,No,1,WeareA2B,Touring,medium,large,"$1,362.99",$57.74,"$1,305.25",13 Dexter Lane,VIC,Australia,17,
2337,Odilia,Bick,Female,47,1/11/2000,Programmer Analyst II,Health,Mass Customer,N,No,1,Norco Bicycles,Road,medium,medium,$543.39,$407.54,$135.85,51 Crescent Oaks Parkway,NSW,Australia,17,
1229,Sebastian,Trass,Male,38,1/8/2000,GIS Technical Architect,Manufacturing,Affluent Customer,N,Yes,1,OHM Cycles,Standard,low,medium,"$1,793.43",$248.82,"$1,544.61",48 Lighthouse Bay Point,NSW,Australia,17,
3423,Griselda,Bezants,Female,57,12/27/1999,Registered Nurse,Health,Affluent Customer,N,No,1,WeareA2B,Touring,medium,large,"$1,890.39",$260.14,"$1,630.25",05241 Shelley Park,NSW,Australia,18,
1080,Monah,Talbot,Female,70,12/26/1999,Speech Pathologist,Property,Mass Customer,N,Yes,2,WeareA2B,Standard,medium,small,$175.89,$131.92,$43.97,30624 John Wall Point,VIC,Australia,18,
2431,Alvy,Tyndall,Male,15,12/24/1999,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,2,Norco Bicycles,Standard,low,medium,$363.01,$290.41,$72.60,9106 Thompson Hill,NSW,Australia,18,
435,Jerome,Muggeridge,Male,5,12/23/1999,GIS Technical Architect,Telecommunications,Mass Customer,N,No,1,Solex,Road,medium,large,"$1,777.80",$820.78,$957.02,3 Mallard Center,NSW,Australia,18,
644,Tomlin,Hastwall,Male,59,12/22/1999,Administrative Officer,Health,Affluent Customer,N,No,2,OHM Cycles,Road,medium,medium,"$1,280.28",$829.51,$450.77,71 Cherokee Hill,NSW,Australia,18,
3675,Samuele,Heller,Male,88,12/17/1999,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,1,Solex,Standard,medium,medium,$71.49,$53.62,$17.87,61 Kim Avenue,NSW,Australia,18,
803,Nina,Murcutt,Female,96,11/11/1999,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,3,Norco Bicycles,Road,high,large,$774.53,$464.72,$309.81,3202 Ridge Oak Alley,QLD,Australia,18,
3063,Andrea,Wildber,Male,74,11/4/1999,VP Sales,Financial Services,Affluent Customer,N,No,2,OHM Cycles,Standard,low,medium,$71.16,$56.93,$14.23,7 Fordem Point,VIC,Australia,18,
3650,Darrelle,Rosas,Female,85,10/21/1999,Office Assistant I,IT,Mass Customer,N,Yes,2,Giant Bicycles,Standard,medium,large,"$1,635.30",$993.66,$641.64,80 Cordelia Street,QLD,Australia,18,
3460,Reinhold,Barthrup,Male,22,10/10/1999,Actuary,Financial Services,Mass Customer,N,No,2,OHM Cycles,Standard,medium,medium,$795.34,$101.58,$693.76,7245 Cottonwood Center,NSW,Australia,18,
967,April,Causon,Female,44,10/4/1999,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1,Solex,Standard,medium,large,"$1,071.23",$380.74,$690.49,09 Graceland Junction,VIC,Australia,18,
2006,Hyacinthia,Tuley,Female,33,10/4/1999,Senior Developer,Property,High Net Worth,N,Yes,2,WeareA2B,Standard,medium,medium,"$1,065.03",$230.09,$834.94,15952 Mockingbird Court,NSW,Australia,18,
951,Meryl,Dumbar,Male,44,9/29/1999,Assistant Media Planner,Entertainment,Mass Customer,N,No,1,Norco Bicycles,Standard,low,medium,$958.74,$748.90,$209.84,12 6th Hill,QLD,Australia,18,
2093,Salem,Doiley,Male,94,9/10/1999,Programmer II,Financial Services,High Net Worth,N,No,2,WeareA2B,Standard,medium,medium,"$1,231.15",$161.60,"$1,069.55",75826 Bellgrove Trail,VIC,Australia,18,
2521,Kellia,Martugin,Female,35,8/29/1999,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,3,Solex,Standard,high,medium,"$1,024.66",$614.80,$409.86,38330 Badeau Place,NSW,Australia,18,
842,Mahmud,Dobbson,Male,59,8/16/1999,Compensation Analyst,Financial Services,High Net Worth,N,No,2,Giant Bicycles,Standard,high,medium,"$1,129.13",$677.48,$451.65,9114 Union Center,NSW,Australia,18,
931,Katrina,Sappson,Female,59,8/7/1999,Design Engineer,Manufacturing,Affluent Customer,N,Yes,1,Solex,Standard,medium,medium,$478.16,$298.72,$179.44,261 Mosinee Avenue,NSW,Australia,18,
164,Aarika,Van Vuuren,Female,55,8/7/1999,Senior Editor,Retail,Affluent Customer,N,Yes,1,WeareA2B,Standard,medium,medium,$60.34,$45.26,$15.08,9 Cambridge Junction,NSW,Australia,18,
2929,Winny,Cakes,Male,97,7/28/1999,Nurse,Retail,Mass Customer,N,No,2,Giant Bicycles,Standard,high,medium,"$1,129.13",$677.48,$451.65,0 Brown Trail,NSW,Australia,18,
2755,Karen,La Wille,Female,66,7/28/1999,Automation Specialist I,Manufacturing,Mass Customer,N,Yes,1,Norco Bicycles,Road,medium,medium,$543.39,$407.54,$135.85,89684 Coolidge Hill,NSW,Australia,18,
3386,Cliff,Nolin,Male,24,7/28/1999,Structural Engineer,IT,High Net Worth,N,Yes,2,WeareA2B,Touring,medium,large,"$1,890.39",$260.14,"$1,630.25",41 Eagan Junction,NSW,Australia,18,
1430,Kalli,Pigeram,Female,86,7/24/1999,Biostatistician I,Manufacturing,Mass Customer,N,Yes,3,OHM Cycles,Road,medium,small,"$1,810.00","$1,610.90",$199.10,064 Fallview Terrace,QLD,Australia,18,
3989,Nicolas,Burdass,Male,75,6/23/1999,Environmental Specialist,Argiculture,Affluent Customer,N,Yes,1,Solex,Standard,medium,medium,"$1,483.20",$99.59,"$1,383.61",6 Sunbrook Center,QLD,Australia,18,
3953,Allyson,Simak,Female,79,6/18/1999,Help Desk Operator,Health,Affluent Customer,N,Yes,2,Trek Bicycles,Standard,low,medium,"$1,057.51",$154.40,$903.11,533 Ramsey Center,QLD,Australia,18,
914,Marc,Egleton,Male,73,6/16/1999,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,2,Trek Bicycles,Road,medium,medium,$290.62,$215.14,$75.48,81 Holy Cross Alley,NSW,Australia,18,
3908,Dolf,Serridge,Male,64,6/9/1999,Junior Executive,Health,High Net Worth,N,No,1,Solex,Standard,medium,medium,"$1,945.43",$333.18,"$1,612.25",33 Novick Parkway,NSW,Australia,18,
3152,Lettie,McGenis,Female,6,6/7/1999,Teacher,Financial Services,High Net Worth,N,Yes,3,Giant Bicycles,Standard,medium,large,"$1,635.30",$993.66,$641.64,419 2nd Center,QLD,Australia,18,
1984,Hewett,Alessandretti,Male,70,6/1/1999,Information Systems Manager,Health,Mass Customer,N,Yes,1,Solex,Standard,medium,large,"$1,071.23",$380.74,$690.49,78 Del Sol Hill,NSW,Australia,18,
334,Fredi,Iannuzzelli,Female,71,5/20/1999,Financial Advisor,Financial Services,Affluent Customer,N,Yes,3,Giant Bicycles,Standard,medium,medium,$230.91,$173.18,$57.73,33 Rockefeller Avenue,QLD,Australia,18,
377,Levy,Bonavia,Male,65,5/19/1999,Staff Scientist,Argiculture,Mass Customer,N,No,1,Norco Bicycles,Road,medium,large,"$1,240.31",$795.10,$445.21,5668 Corscot Circle,NSW,Australia,18,
351,Dev,Hafner,Male,69,5/12/1999,Pharmacist,Health,Mass Customer,N,Yes,2,Norco Bicycles,Standard,medium,small,$586.45,$521.94,$64.51,0355 3rd Drive,NSW,Australia,18,
3133,Eda,MacCheyne,Female,89,5/10/1999,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2,Giant Bicycles,Standard,medium,large,"$1,812.75",$582.48,"$1,230.27",256 Fordem Street,NSW,Australia,18,
2620,Henderson,Koubek,Male,26,4/30/1999,Civil Engineer,Manufacturing,Mass Customer,N,No,1,Solex,Standard,high,medium,$748.17,$448.90,$299.27,1617 Beilfuss Street,NSW,Australia,18,
3379,Elysee,Spurr,Female,51,4/30/1999,Food Chemist,Health,Mass Customer,N,Yes,2,Solex,Standard,medium,medium,$478.16,$298.72,$179.44,290 Jay Drive,QLD,Australia,18,
361,Stephana,Minero,Female,59,3/27/1999,Software Engineer IV,Health,Mass Customer,N,Yes,2,Giant Bicycles,Standard,high,medium,"$1,179.00",$707.40,$471.60,10 Cambridge Street,QLD,Australia,18,
421,Tish,Netti,Female,26,3/19/1999,Sales Representative,Retail,Mass Customer,N,Yes,2,Giant Bicycles,Standard,medium,medium,$230.91,$173.18,$57.73,4 Sunnyside Crossing,NSW,Australia,18,
586,Jayme,Baunton,Female,63,3/15/1999,Chief Design Engineer,Manufacturing,Mass Customer,N,No,4,Solex,Road,medium,small,"$1,703.52","$1,516.13",$187.39,35807 Oneill Way,QLD,Australia,18,
2741,Reinwald,Sinkins,Male,6,2/28/1999,Statistician II,Property,High Net Worth,N,No,4,Trek Bicycles,Standard,high,medium,$358.39,$215.03,$143.36,0866 Pennsylvania Junction,VIC,Australia,18,
875,Caryl,Linnett,Male,34,2/23/1999,Recruiting Manager,Financial Services,Mass Customer,N,Yes,2,Norco Bicycles,Road,high,large,$774.53,$464.72,$309.81,2 Saint Paul Parkway,NSW,Australia,18,
2704,Orlando,Gniewosz,Male,6,2/8/1999,Account Representative IV,Retail,Affluent Customer,N,Yes,3,Trek Bicycles,Standard,low,medium,"$1,057.51",$154.40,$903.11,65634 Del Mar Crossing,QLD,Australia,18,
3772,Anselma,Rennie,Female,45,2/7/1999,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,2,Solex,Road,medium,small,"$1,703.52","$1,516.13",$187.39,0899 Judy Pass,VIC,Australia,18,
116,Scottie,Swiffen,Male,49,2/5/1999,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,WeareA2B,Touring,medium,large,"$1,890.39",$260.14,"$1,630.25",13 Tennyson Point,QLD,Australia,18,
3357,Georgie,Henze,Male,25,2/1/1999,Design Engineer,Manufacturing,Affluent Customer,N,No,4,Norco Bicycles,Road,medium,medium,$543.39,$407.54,$135.85,0 American Ash Parkway,VIC,Australia,18,
2744,Bjorn,Isitt,Male,59,1/25/1999,Senior Financial Analyst,Financial Services,Mass Customer,N,No,3,Norco Bicycles,Standard,high,small,"$1,661.92","$1,479.11",$182.81,1075 Raven Place,QLD,Australia,18,
1724,Davita,Pristnor,Female,28,1/24/1999,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,4,Giant Bicycles,Standard,medium,large,"$1,635.30",$993.66,$641.64,4 Sachtjen Drive,QLD,Australia,18,
2302,Loraine,Beamish,Female,43,1/9/1999,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,4,WeareA2B,Touring,medium,medium,"$1,466.68",$363.25,"$1,103.43",272 Montana Avenue,NSW,Australia,18,
906,Cammy,Marcroft,Male,73,12/30/1998,Financial Analyst,Financial Services,High Net Worth,N,Yes,3,Trek Bicycles,Standard,medium,small,"$1,775.81","$1,580.47",$195.34,718 Colorado Court,NSW,Australia,19,
772,Lorianna,Vidyapin,Female,12,12/26/1998,Community Outreach Specialist,Entertainment,Mass Customer,N,No,4,Norco Bicycles,Standard,low,medium,$958.74,$748.90,$209.84,2271 Fordem Plaza,NSW,Australia,19,
826,Marc,Waddilove,Male,92,12/25/1998,Recruiting Manager,Financial Services,Mass Customer,N,Yes,1,Norco Bicycles,Standard,low,medium,$958.74,$748.90,$209.84,688 Straubel Junction,NSW,Australia,19,
3674,Rodger,Gores,Male,59,12/24/1998,Tax Accountant,Property,Mass Customer,N,No,3,Trek Bicycles,Road,low,small,"$1,720.70","$1,531.42",$189.28,10 Pennsylvania Hill,NSW,Australia,19,
3494,Robers,Richen,Male,72,12/24/1998,Account Representative IV,Argiculture,High Net Worth,N,No,1,Solex,Standard,medium,medium,$71.49,$53.62,$17.87,686 Rusk Parkway,NSW,Australia,19,
2203,Ganny,Alessandrelli,Male,13,12/23/1998,Sales Associate,Health,High Net Worth,N,Yes,2,Norco Bicycles,Road,medium,medium,$544.05,$376.84,$167.21,34 Russell Plaza,QLD,Australia,19,
1415,Merilyn,Dikle,Female,68,12/14/1998,Executive Secretary,Property,High Net Worth,N,Yes,3,Norco Bicycles,Standard,medium,small,"$1,216.14","$1,082.36",$133.78,1349 Namekagon Crossing,NSW,Australia,19,
2201,Trisha,Basset,Female,56,12/12/1998,Design Engineer,Financial Services,Affluent Customer,N,Yes,1,Giant Bicycles,Road,medium,medium,"$1,538.99",$829.65,$709.34,8 Mccormick Crossing,NSW,Australia,19,
704,Lindsay,Acaster,Female,49,12/8/1998,Research Nurse,Health,Mass Customer,N,No,4,Solex,Standard,medium,medium,$478.16,$298.72,$179.44,93405 Ludington Park,VIC,Australia,19,
1534,Rosabelle,Hollington,Female,74,11/30/1998,Human Resources Assistant I,Manufacturing,Mass Customer,N,No,4,Giant Bicycles,Standard,high,medium,"$1,129.13",$677.48,$451.65,4 Hoard Pass,NSW,Australia,19,
774,Phelia,Perotti,Female,79,11/27/1998,Operator,Manufacturing,High Net Worth,N,No,1,WeareA2B,Standard,medium,medium,$60.34,$45.26,$15.08,04046 Summit Avenue,QLD,Australia,19,
1432,Hiram,Kittiman,Male,70,11/26/1998,Tax Accountant,Argiculture,High Net Worth,N,Yes,2,WeareA2B,Standard,medium,medium,"$1,762.96",$950.52,$812.44,070 Shelley Terrace,VIC,Australia,19,
2016,Laraine,Merioth,Female,89,11/19/1998,Executive Secretary,Retail,Affluent Customer,N,Yes,1,Giant Bicycles,Standard,high,medium,"$1,129.13",$677.48,$451.65,17 Ohio Drive,QLD,Australia,19,
1428,Morissa,Ozintsev,Female,93,11/15/1998,Sales Representative,Retail,High Net Worth,N,No,1,Solex,Standard,medium,large,"$1,071.23",$380.74,$690.49,9 Utah Road,QLD,Australia,19,
1278,Betsy,Schruurs,Female,14,11/15/1998,Pharmacist,Health,Affluent Customer,N,No,2,Giant Bicycles,Standard,medium,large,"$1,812.75",$582.48,"$1,230.27",9129 Gale Court,QLD,Australia,19,
3774,Elizabeth,Christy,Female,38,11/7/1998,Statistician I,Property,High Net Worth,N,No,2,Giant Bicycles,Standard,high,medium,"$1,129.13",$677.48,$451.65,8 Dayton Park,NSW,Australia,19,
2626,Gerome,Lawrenz,Male,42,10/24/1998,Account Coordinator,Property,Affluent Customer,N,Yes,4,Trek Bicycles,Mountain,low,medium,$574.64,$459.71,$114.93,4861 School Park,NSW,Australia,19,
1334,Cicily,Jenks,Female,72,10/23/1998,Senior Financial Analyst,Financial Services,Mass Customer,N,No,4,OHM Cycles,Road,medium,medium,$742.54,$667.40,$75.14,482 Bartelt Junction,QLD,Australia,19,
2875,Keven,Leahair,Male,71,10/23/1998,Financial Analyst,Financial Services,High Net Worth,N,No,2,OHM Cycles,Standard,medium,medium,$235.63,$125.07,$110.56,40 Dexter Crossing,NSW,Australia,19,
2365,Lauretta,Furmonger,Female,2,10/18/1998,Structural Analysis Engineer,Argiculture,Mass Customer,N,Yes,3,Solex,Standard,medium,medium,"$1,483.20",$99.59,"$1,383.61",54905 Anniversary Pass,QLD,Australia,19,
3867,Carmelia,Klimentyonok,Female,14,10/9/1998,Geologist II,IT,Mass Customer,N,Yes,1,OHM Cycles,Standard,high,medium,"$2,005.66","$1,203.40",$802.26,967 Farmco Road,NSW,Australia,19,
2377,Kristien,Dunne,Female,29,10/2/1998,Analog Circuit Design manager,IT,High Net Worth,N,No,2,Trek Bicycles,Standard,medium,large,"$2,091.47",$388.92,"$1,702.55",760 Forest Dale Place,VIC,Australia,19,
1380,Lavina,Clavey,Female,99,9/30/1998,Financial Analyst,Financial Services,Mass Customer,N,No,3,Giant Bicycles,Standard,medium,medium,$642.70,$211.37,$431.33,781 Dorton Avenue,VIC,Australia,19,
